1 -24 25 -36 8 -15 31
1 -3 41 -15 30 -26 18
1 0 45 -13 41 -13 32
1 -48 -4 -6 39 -49 -1
1 -40 12 -11 33 -24 28
1 -40 7 -6 40 -25 20
1 -16 29 -43 3 -23 25
1 -20 33 -6 39 -2 49
1 -46 5 -8 46 -1 44
1 -29 18 -27 17 -32 22
0 -39 -20 -32 -18 36 47
1 -22 27 -5 42 -45 0
0 -23 -6 29 40 -43 -26
1 -29 21 -25 23 -9 38
0 -45 -29 -6 12 -31 -19
1 -12 35 -7 43 -21 27
0 30 46 20 29 -3 15
1 -11 37 0 44 -39 7
0 17 35 -48 -38 -30 -21
1 -18 27 -46 2 -5 48
1 -55714 -36261 -45582 -17672 -64784 -38144
1 20420 30990 5859 23990 -81923 -58134
1 51733 60384 19512 31007 -54353 -43527
1 -38494 -1715 49823 80956 32219 42883
1 -83080 -64432 -9426 19690 10101 30711
1 -20725 -15861 -40621 -6268 54269 75365
1 -94372 -65353 -18033 4056 -29538 -20817
1 -70683 -61419 13964 24514 -40268 -29845
1 59524 74677 -17158 10596 -45128 -19042
1 -28431 -15623 -31191 -14766 61175 81362
1 -27591 -4105 -22406 1837 -78369 -57026
1 40887 54323 38641 64864 -36950 -24803
1 49100 74692 36627 64301 -44928 -31364
1 21497 32658 -44701 -21082 -86865 -65876
1 -17578 1694 -59751 -36678 -85632 -66396
1 26500 46019 18298 36049 -80657 -58918
1 -74816 -55918 735 17540 34836 54873
1 -14356 3149 -81903 -74430 -1790 30440
1 -22970 -17845 48427 59161 -66745 -37643
1 -73008 -46471 26383 53800 13928 39666
1 -24306 9139 -76013 -49332 45385 70270
1 64490 73910 -7097 14205 24913 39837
1 32000 46487 40044 41349 -61713 -52404
1 61299 95889 897 15308 6717 28213
1 18191 40446 -11534 6761 75267 94301
1 23917 28493 -47690 -35425 56930 71075
1 -23102 3183 23791 45146 -73813 -65608
1 -25061 3725 53151 90834 -37191 -10533
1 19734 43046 20259 52367 -69278 -60632
1 -56868 -33736 -26795 5018 46047 67401
1 -33074 -11410 22431 38827 -82435 -54313
1 8370 42897 67312 78701 -4518 3751
1 -92665 -54632 -34937 -29756 -3003 10061
1 -51112 -39070 -65673 -56881 13272 38285
1 -11791 5760 6605 18151 -79937 -66958
1 -78745 -53478 -6384 21603 33328 43447
1 -11647 4297 -51297 -39620 -68835 -51630
1 44957 74738 -52107 -31591 -50754 -20193
1 49128 66486 40384 49348 37811 57000
1 -9415 11612 62138 77250 -39808 -19225
1 43022 48265 -29270 -18003 54912 72609
1 61073 75942 23772 50779 -18443 -8471
1 19711 37825 -86663 -66575 -44099 -11539
1 -70625 -51166 -51005 -31200 -1065 17742
1 -4010 27420 -51049 -30136 -81071 -57607
1 39539 53358 48896 72499 -37961 -18276
1 -69744 -55405 3016 16773 31059 59244
1 72645 90830 9662 35184 -11778 8330
1 -85951 -63514 -6673 6796 7451 38117
1 7471 20251 61529 76452 -39012 -9818
1 -69078 -50527 -43522 -4588 38725 53374
1 -57745 -28854 11505 29893 43025 64123
1 45049 64089 -9047 11687 -65374 -33700
1 -58574 -28971 -65419 -36298 20545 38072
1 31144 49945 20576 45081 45353 68069
1 43485 47058 -15819 8239 47656 71281
1 30310 64068 -52330 -49189 20615 58823
1 10985 39489 -37486 -4416 56402 75593
1 -49434 -36878 -23836 -11446 56306 74921
1 -314 10948 -76148 -60466 33412 51559
1 -21095 -5170 44156 67554 39335 58437
1 35054 50608 -17207 9945 57478 77562
1 76700 94111 3239 31169 -9233 11309
