8 15 12 -27
58 24 91 -30
63 33 -60 -5
41 53 42 79
84 100 -15 7
19 45 -17 -25
49 46 14 57
46 5 -73 -32
66 41 18 56
83 61 18 -63
53 26 -14 37
40 73 51 2
0 70 81 -16
93 9 44 91
48 18 -94 61
70 96 -65 -15
22 16 23 -41
92 18 55 96
72 95 91 92
31 47 5 -47
74 39 -88 57
30 99 28 -36
18 23 61 -73
58 40 -60 -65
66 3 18 13
89 52 -59 -39
73 99 32 66
50 48 37 37
90 74 95 -40
28 68 38 -64
91 19 -84 91
26 6 -35 -38
71 22 -6 -90
2 2 66 -35
86 15 -66 -52
48 19 -68 91
78 47 -73 -51
23 88 -13 -18
94 77 -11 -38
35 23 -96 30
0 85 67 -98
89 95 -31 -70
67 43 -97 36
95 36 4 65
11 70 -57 -99
4 40 9 -67
66 95 -51 -55
25 47 11 -27
98 26 -29 -66
14 49 -56 -8
97 52 -99 60
100 57 76 60
64 6 -5 -52
43 12 -46 -34
8 66 37 -22
2 47 76 -3
83 22 -56 53
57 98 -10 -20
84 59 -19 -81
55 58 -78 -44
32 45 56 39
33 95 93 47
21 39 -49 -67
71 82 73 -96
46 23 51 -80
73 93 91 46
90 40 -80 35
22 62 35 -90
28 36 98 9
95 3 12 70
75 0 68 -56
1 96 68 -18
64 62 -14 -21
2 14 12 16
11 51 -11 -71
4 33 -91 64
1 77 -34 2
72 70 -51 63
75 10 -48 -18
67 98 -65 -13
57 14 78 12
51 47 23 -85
97 78 -92 -51
85 65 -43 -63
30 30 29 -24
30 22 93 32
6 78 -62 -16
26 91 47 46
16 15 29 -10
64 40 62 -74
55 74 42 -36
95 6 12 90
8 25 -39 -28
54 72 78 -18
22 63 95 1
26 54 43 38
41 62 -20 83
98 56 21 -86
82 94 31 88
97 102 -15 -16
15 76 53 1
88 88 7 -54
66 3 -42 -73
77 83 -98 -34
69 74 -74 -80
50 66 -87 43
24 68 -58 20
29 26 6 -90
36 62 -25 -78
96 94 40 -73
25 16 75 -83
55 50 59 40
8 62 83 -82
89 30 -74 86
49 67 -80 -82
63 71 -41 41
67 27 -42 99
77 99 77 70
59 89 69 66
0 21 21 93
13 54 20 59
88 24 -43 32
54 2 78 8
32 28 24 -45
87 42 -84 38
94 28 -22 -38
20 7 -71 81
92 78 -29 -79
36 41 -59 57
75 97 3 -56
76 102 -30 84
6 92 -26 49
75 0 -95 7
9 94 94 -95
45 45 8 46
32 6 66 -92
38 86 -82 -99
31 36 -12 33
6 15 4 81
11 58 39 81
41 81 -13 85
3 20 -15 3
20 66 -7 -85
29 87 -51 -72
83 65 -4 -33
0 79 39 85
4 94 7 -98
88 97 -66 89
92 61 58 80
63 65 32 40
16 82 -53 -20
57 57 55 -63
13 0 -30 24
55 23 46 -48
11 69 57 -41
17 26 34 -8
10 58 -21 -61
30 45 15 38
36 5 74 -56
45 37 83 14
14 65 64 90
40 99 74 -50
46 46 -69 -89
39 89 97 -17
27 92 24 85
16 21 -71 92
77 102 -47 -53
60 84 87 32
98 49 97 -70
