1 1470
2 46
1 -6481
2 70
1 547
2 48
1 -6479
2 69
1 -5203
2 13
0
2 73
0
1 -6689
2 61
1 -9853
2 48
1 -9673
0
2 3
0
2 64
1 5789
2 66
0
2 70
1 -2588
2 6
0
2 6
1 -7829
2 49
0
2 19
1 9777
0
2 27
1 6210
0
2 12
1 6309
2 12
1 -9458
2 5
1 6369
2 27
1 2278
2 42
1 6656
2 62
1 -1424
2 25
0
2 12
0
1 -7399
0
1 -8925
2 47
0
1 5249
2 65
1 -213
0
1 6426
2 22
1 -6683
2 38
0
2 62
1 6855
2 75
1 4965
0
1 -5792
2 30
1 9250
2 19
1 -948
2 26
1 -5123
2 68
1 -604
2 41
0
2 45
1 5572
0
1 3853
2 21
1 1036
0
2 6
1 8114
0
2 38
1 -5
2 58
1 9539
2 19
