PL 4 LI GD LB IA LZ
LB 0 PL VR
QS 0 MG YL
RM 17 OQ UN
QM 0 RD RO
LI 0 AF PL
VR 0 YL LB
SJ 0 RO TU
PZ 14 KU HE
OQ 0 RM OC
YT 0 PX IO
TU 5 WS GZ MG SJ GD
PC 7 RY WK OG PD
HE 0 PZ OG
IO 20 YT TX
OC 19 OQ PD
AA 0 NY IA WK FU NU
UN 0 JY RM
NY 0 AA WA
HU 0 WA RC
GD 0 PL TU
WK 0 PC AA
RY 0 PV PC
GX 0 QX YL
RC 0 HU RL
TX 0 IO WA
PV 12 RY
PP 25 KU
RL 9 RC
OG 0 PC HE
PD 0 OC PC
RO 8 SJ QX MO QM
QX 0 GX RO
WA 6 TX AF RG HU NY
PX 0 YT OE
GZ 0 TU FU
RG 0 OE WA
MG 0 QS TU
AF 0 WA LI
WS 0 ND TU
OE 18 RG PX
YL 3 VR GX QS NU
ND 0 JY WS
FU 0 GZ AA
NU 0 YL AA
JY 11 UN RD ND
IA 0 AA PL
KU 0 PZ PP
RD 0 JY QM
MO 0 RO LZ
LZ 0 PL MO
